
Alerts for fault 1::
Alert|| Glucose = 320.0 || Time(sec)=0
Alert|| Glucose = 317.25437083516346 || Time(sec)=10
Alert|| Glucose = 315.6622643046646 || Time(sec)=11
Alert|| Glucose = 313.5413415315106 || Time(sec)=12
Alert|| Glucose = 310.825750027572 || Time(sec)=13
Alert|| Glucose = 307.45982062798083 || Time(sec)=14
Alert|| Glucose = 303.40007983342394 || Time(sec)=15
Alert|| Glucose = 298.61685759826383 || Time(sec)=16
Alert|| Glucose = 293.0968185085504 || Time(sec)=17
Alert|| Glucose = 286.8451752679887 || Time(sec)=18
Alert|| Glucose = 79.97094667023106 || Time(sec)=54
Alert|| Glucose = 79.70792250838066 || Time(sec)=55
Alert|| Glucose = 79.60151314287793 || Time(sec)=56
Alert|| Glucose = 79.63872229092058 || Time(sec)=57
Alert|| Glucose = 79.80625789759759 || Time(sec)=58

Alerts for fault 6::
Alert|| Glucose = 320.0 || Time(sec)=0
Alert|| Glucose = 320 || Time(sec)=1
Alert|| Glucose = 320 || Time(sec)=2
Alert|| Glucose = 320 || Time(sec)=3
Alert|| Glucose = 320 || Time(sec)=4
Alert|| Glucose = 319.9715747399378 || Time(sec)=5
Alert|| Glucose = 319.8652618021538 || Time(sec)=6
Alert|| Glucose = 319.6167077541378 || Time(sec)=7
Alert|| Glucose = 319.15184318635784 || Time(sec)=8
Alert|| Glucose = 318.39131753594023 || Time(sec)=9
Alert|| Glucose = 317.25437083516346 || Time(sec)=10
Alert|| Glucose = 315.6622643046646 || Time(sec)=11
Alert|| Glucose = 313.5413415315106 || Time(sec)=12
Alert|| Glucose = 310.825750027572 || Time(sec)=13
Alert|| Glucose = 307.45982062798083 || Time(sec)=14
Alert|| Glucose = 303.40007983342394 || Time(sec)=15
Alert|| Glucose = 298.61685759826383 || Time(sec)=16
Alert|| Glucose = 293.0968185085504 || Time(sec)=17
Alert|| Glucose = 286.8451752679887 || Time(sec)=18
Alert|| Glucose = 79.92029967008747 || Time(sec)=55
Alert|| Glucose = 79.81019543313323 || Time(sec)=56
Alert|| Glucose = 79.84240382513964 || Time(sec)=57

Alerts for fault 7::
Alert|| Glucose = 320.0 || Time(sec)=0
Alert|| Glucose = 320 || Time(sec)=1
Alert|| Glucose = 320 || Time(sec)=2
Alert|| Glucose = 320 || Time(sec)=3
Alert|| Glucose = 320 || Time(sec)=4
Alert|| Glucose = 319.9715747399378 || Time(sec)=5
Alert|| Glucose = 319.8652618021538 || Time(sec)=6
Alert|| Glucose = 319.6167077541378 || Time(sec)=7
Alert|| Glucose = 319.15184318635784 || Time(sec)=8
Alert|| Glucose = 318.39131753594023 || Time(sec)=9
Alert|| Glucose = 317.25437083516346 || Time(sec)=10
Alert|| Glucose = 315.6622643046646 || Time(sec)=11
Alert|| Glucose = 313.5413415315106 || Time(sec)=12
Alert|| Glucose = 310.825750027572 || Time(sec)=13
Alert|| Glucose = 307.45982062798083 || Time(sec)=14
Alert|| Glucose = 303.40007983342394 || Time(sec)=15
Alert|| Glucose = 298.61685759826383 || Time(sec)=16
Alert|| Glucose = 293.0968185085504 || Time(sec)=17
Alert|| Glucose = 286.8451752679887 || Time(sec)=18
Alert|| Glucose = 79.92029967008747 || Time(sec)=55
Alert|| Glucose = 79.81019543313323 || Time(sec)=56
Alert|| Glucose = 79.84240382513964 || Time(sec)=57
